ticker	name	country
HOT	HOCHTIEF AG	Duitsland
HUH1V	HUHTAMAKI	Finland
IBE	IBERDROLA SA	Spanje
IDR	INDRA SISTEMAS SA	Spanje
IFX	INFINEON TECHNOLOGIES AG	Duitsland
IG	ITALGAS	Italië
IMCD	IMCD NV	Nederland
INGA	ING GROEP NV	Nederland
INPST	INPOST SA	Nederland
INW	INFRASTRUTTURE WIRELESS ITALIANE	Italië
IP	INTERPUMP GROUP	Italië
IPN	IPSEN SA	Frankrijk
ISP	INTESA SANPAOLO	Italië
ITX	INDUSTRIA DE DISENO TEXTIL SA	Spanje
IVG	IVECO GROUP NV	Italië
JMT	JERONIMO MARTINS SA	Portugal
KBC	KBC GROEP	België
KBCA	KBC ANCORA NV	België
KBX	KNORR BREMSE AG	Duitsland
KCR	KONECRANES	Finland
KEMIRA	KEMIRA	Finland
KER	KERING SA	Frankrijk
KESKOB	KESKO CLASS B	Finland
KGX	KION GROUP AG	Duitsland
KNEBV	KONE	Finland
KPN	KONINKLIJKE KPN NV	Nederland
KRX	KINGSPAN GROUP PLC	Ierland
KRZ	KERRY GROUP PLC	Ierland
LDO	LEONARDO FINMECCANICA SPA	Italië
LEG	LEG IMMOBILIEN N	Duitsland
LHA	DEUTSCHE LUFTHANSA AG	Duitsland
LI	KLEPIERRE REIT SA	Frankrijk
LIGHT	SIGNIFY NV	Nederland
LOTB	LOTUS BAKERIES NV	België
LR	LEGRAND SA	Frankrijk
LTMC	LOTTOMATICA GROUP	Italië
MANTA	MANDATUM	Finland
MAP	MAPFRE SA	Spanje
MBG	MERCEDES-BENZ GROUP N AG	Duitsland
MC	LVMH	Frankrijk
METSO	METSO CORPORATION	Finland
MF	WENDEL	Frankrijk
MICC	MAGNUM ICE CREAM NV	Nederland
ML	MICHELIN	Frankrijk
MONC	MONCLER	Italië
MRK	MERCK	Duitsland
MRL	MERLIN PROPERTIES REIT SA	Spanje
MSIFT	CASH COLLATERAL EUR MSIFT	Europese Unie
MT	ARCELORMITTAL SA	Frankrijk
MTX	MTU AERO ENGINES HOLDING AG	Duitsland
MUV2	MUENCHENER RUECKVERSICHERUNGS-GESE	Duitsland
NDA	AURUBIS AG	Duitsland
NDA FI	NORDEA BANK	Finland
NDX1	NORDEX	Duitsland
NEM	NEMETSCHEK	Duitsland
NESTE	NESTE	Finland
NEX	NEXANS SA	Frankrijk
NEXI	NEXI	Italië
NN	NN GROUP NV	Nederland
NOKIA	NOKIA	Finland
NTGY	NATURGY ENERGY GROUP SA	Spanje
OMV	OMV AG	Oostenrijk
OR	LOREAL SA	Frankrijk
ORA	ORANGE SA	Frankrijk
ORNBV	ORION CLASS B	Finland
P911	DR ING HC F PORSCHE PRF AG	Duitsland
PAH3	PORSCHE AUTOMOBIL HOLDING PREF	Duitsland
PHIA	KONINKLIJKE PHILIPS NV	Nederland
PIRC	PIRELLI & C	Italië
PLN	PLN/EUR	Europese Unie
PRX	PROSUS NV CLASS N	Nederland
PRY	PRYSMIAN	Italië
PST	POSTE ITALIANE	Italië
PUB	PUBLICIS GROUPE SA	Frankrijk
PUIG	PUIG BRANDS SA CLASS B	Spanje
PUM	PUMA	Duitsland
QIA	QIAGEN NV	Duitsland
R3NK	RENK GROUP AG	Duitsland
RAA	RATIONAL AG	Duitsland
RACE	FERRARI NV	Italië
RAND	RANDSTAD HOLDING	Nederland
RBI	RAIFFEISEN BANK INTERNATIONAL AG	Oostenrijk
REC	RECORDATI INDUSTRIA CHIMICA E FARM	Italië
RED	REDEIA CORPORACION SA	Spanje
REP	REPSOL SA	Spanje
REY	REPLY	Italië
RHM	RHEINMETALL AG	Duitsland
RI	PERNOD RICARD SA	Frankrijk
RMS	HERMES INTERNATIONAL	Frankrijk
RNO	RENAULT SA	Frankrijk
RUI	RUBIS	Frankrijk
RWE	RWE AG	Duitsland
RXL	REXEL SA	Frankrijk
RYA	RYANAIR HOLDINGS PLC	Ierland
SAB	BANCO DE SABADELL SA	Spanje
SAF	SAFRAN SA	Frankrijk
SAMPO	SAMPO CLASS A	Finland
SAN	BANCO SANTANDER	Spanje
SAN	SANOFI SA	Frankrijk
SAP	SAP	Duitsland
SBMO	SBM OFFSHORE NV	Nederland
SCR	SCOR	Frankrijk
SCYR	SACYR SA	Spanje
SDF	K+S N AG	Duitsland
SEK	SEK/EUR	Europese Unie
